source_url	title	author	book_journal	pub_date	pub_place	publisher	enumcron	pages_orig	pages_digital	new digital range	page_count	added	updated	item_type	source_id		side notes (poetry, couldn't find article, item unavailable, original pages differentiate)
https://hdl.handle.net/2027/njp.32101074443332	The Prosody of Old and Middle English	Saintsbury, George.	The Cambridge history of English literature, 	1907	Cambridge	University press	v. 1	416-23	442-449	correct	8	2018-01-23 14:56:59	2021-08-05 09:54:23	Excerpt	njp.32101074443332		
https://hdl.handle.net/2027/njp.32101074443399	The Prosody of the Eighteenth Century	Saintsbury, George.	The Cambridge history of English literature, 	1914	Cambridge	University press	v. 11	271-283	293-305	correct	13	2018-01-23 14:56:59	2021-08-05 09:54:23	Excerpt	njp.32101074443399		
https://hdl.handle.net/2027/njp.32101074443415	The Prosody of the Nineteenth Century	Saintsbury, George.	The Cambridge history of English literature, 	1917	Cambridge	University press	v. 13	250-82	268-300	correct	33	2021-08-05 09:54:23	2021-08-05 09:54:23	Excerpt	njp.32101074443415		
https://hdl.handle.net/2027/njp.32101021580343	The Prosody of the Seventeenth Century	Saintsbury, George.	The Cambridge history of English literature, 	1912	Cambridge	University press	v. 8	253-73	277-297	275-295	21	2018-01-23 14:59:19	2021-08-05 09:54:21	Excerpt	njp.32101021580343		
https://hdl.handle.net/2027/inu.30000099860326	The Prosody of Walt Whitman	Scott, Fred Newton.	Publications of the Modern Language Association of America	1906	Baltimore	The Association	v.21 1906	xix	33	correct	1	2018-01-23 14:44:47	2021-08-05 09:51:35	Article	inu.30000099860326		
https://hdl.handle.net/2027/njp.32101076041084	The Psycho-physiological Effect of the Elements of Speech in Relation to Poetry	Givler, Robert C	Psychological monographs.	1915	Washington	American Psychological Association	vol.19 (1915)	1-132	183-320	correct	138	2018-01-23 14:56:13	2021-08-05 09:51:55	Article	njp.32101076041084		
https://hdl.handle.net/2027/njp.32101075672749	Pulse in Verbal Rhythm	Hallock-Greenewalt, Mary.	Poet lore.	1905	Washington		vol.16 (1905)	79-85	233-239	correct	7	2018-01-23 14:56:27	2021-08-05 09:51:58	Article	njp.32101075672749		
https://hdl.handle.net/2027/njp.32101075729960	A Quantitative Study of Rhythm: The Effect of Variations in Intensity, Rate, and Duration	Woodrow, Herbert.	Archives of psychology.	1911	New York		vol.2 (no. 1-18) (1908-11)	1-66	333-400	correct	68	2018-01-23 14:56:15	2021-08-05 09:51:56	Article	njp.32101075729960		
https://hdl.handle.net/2027/hvd.32044098627433	Quantity and Sentence-Stress in English	Sweet, Henry.	Transactions of the Philological Society	1881	Oxford [etc.]	Society by B. Blackwell	1880-1881	26-27	770-771	772-773	2	2018-01-23 14:41:55	2023-04-25 12:48:30	Article	hvd.32044098627433		
https://hdl.handle.net/2027/uc1.b3885859	Quantity in English Verse	Goodell, Thomas D.	Transactions of the American Philological Association	1885	Boston [etc.]	Ginn & Co. [etc.]	v.16	78-103	84-109	correct	26	2018-01-23 15:09:56	2021-08-05 09:52:09	Article	uc1.b3885859		
https://hdl.handle.net/2027/mdp.39015060429530	Quantity Marks in Old English MSS	Hulme, William H.	Modern language notes.	1896	Baltimore	Johns Hopkins Press [etc.]	v.11 1896	9-12	27-30	29-32	4	2018-01-23 14:47:44	2021-08-05 09:51:39	Article	mdp.39015060429530		
https://hdl.handle.net/2027/njp.32101077288213	The Quasi-Caesura in Vergil	Sandford, P	Hermathena.	1901	Dublin	University of Dublin	vol.11	110-21	126-137	correct	12	2018-01-23 14:55:25	2021-08-05 09:51:47	Article	njp.32101077288213		
